activity_name,venue_id,venue_name,area,website_url,source_url,current_image_url,cover_image_url,image_2_url,image_3_url,image_source_url,image_credit,image_rights_status,image_notes,publish_status,admin_notes
Coffee / Café,ed3cd618-1fc8-4c90-b3c3-1d97338582fb,Boston Lane,Al Quoz,https://www.visitdubai.com/en/restaurants/boston-lane,https://www.visitdubai.com/en/restaurants/boston-lane,,,,,,,,,published,
Restaurants / Food,c9f0788b-b4cb-474c-8b08-10d8c87cd29e,Bu Qtair,Umm Suqeim / Jumeirah,https://www.visitdubai.com/en/restaurants/bu-qtair,https://www.visitdubai.com/en/restaurants/bu-qtair,,,,,,,,,published,
Karting,73c66243-a218-4100-bd19-ef79e88bcbdb,Chaos Karts Dubai,Al Quoz,https://chaoskarts.ae/,https://chaoskarts.ae/,,,,,,,,,published,
Billiards / Pool,3c9d55c8-676d-4e4e-b55f-c0ced4c2d430,Cue King,Al Quoz,https://cueking.ae/,https://cueking.ae/,,,,,,,,,published,
Swimming / Pool Day,a7cdcb01-4d9a-4120-99a9-cb84e5b1796f,DRIFT Beach Dubai,Dubai Marina / One&Only Royal Mirage,https://driftbeachdubai.com/,https://www.visitdubai.com/en/articles/dubais-photogenic-spots,,,,,,,,,published,
Bowling,a7f699f7-b88f-41a4-a108-693b34dce0e4,Dubai Bowling Center,Al Quoz,https://bowlingdubai.com/,https://bowlingdubai.com/,,,,,,,,,published,
Theme Parks / Attractions,88c15896-3218-48c2-99f5-cfdd76c67fc6,Dubai Frame,Zabeel Park,https://www.visitdubai.com/en/places-to-visit/dubai-frame,https://www.visitdubai.com/en/places-to-visit/dubai-frame,,,,,,,,,published,
Bowling,f53e41eb-7849-4d45-b812-4440bad95210,Dubai International Bowling Centre,Al Mamzar,https://dubaiinternationalbowlingcentre.ae/,https://dubaiinternationalbowlingcentre.ae/,,,,,,,,,published,
Karting,e3b3d9bf-ccb4-43e0-a43d-9ed4b73d7f89,Dubai Kartdrome,Motor City,https://dubaiautodrome.ae/kartdrome-main/arrive-drive-2/,https://dubaiautodrome.ae/kartdrome-main/arrive-drive-2/,,,,,,,,,published,
Walking,2fa19ec2-3ace-46b7-ad4a-ada529c6ddee,Dubai Marina Walk,Dubai Marina,https://www.visitdubai.com/en/places-to-visit/marina-walk,https://www.visitdubai.com/en/articles/dubai-marina-walking-tour,,,,,,,,,published,
Billiards / Pool,6c7613f1-b759-4092-ad58-1305b600eb1d,Dubai Snooker Club,Al Karama,https://dubaisnookerclub.com/,https://dubaisnookerclub.com/,,,,,,,,,published,
Basketball,2fc1000f-d735-4c36-96b1-ac2fb6b6b517,Dubai Sports World — Basketball,Dubai World Trade Centre,https://www.dubaisportsworld.ae/sports/basketball/,https://www.dubaisportsworld.ae/sports/basketball/,,,,,,,,,published,
Football,64d1d9f0-1cb7-4b95-8635-d97db59956a3,Dubai Sports World — Football,Dubai World Trade Centre,https://www.dubaisportsworld.ae/sports/football/,https://www.dubaisportsworld.ae/sports/football/,,,,,,,,,published,
Tennis,9e3c12aa-f726-4818-9279-b9294233c82d,Dubai Sports World — Tennis,Dubai World Trade Centre,https://www.dubaisportsworld.ae/sports/tennis/,https://www.dubaisportsworld.ae/sports/tennis/,,,,,,,,,published,
Padel,182c381e-8fd0-49ce-ba47-2d996444c7e5,Dubai Sports World Padel,Dubai World Trade Centre,https://www.dubaisportsworld.ae/sports/padel/,https://www.dubaisportsworld.ae/sports/padel/,,,,,,,,,published,
Walking,258173d7-eb87-40fa-9323-50ca5f743326,Dubai Water Canal Walk,Business Bay / Al Safa,https://www.visitdubai.com/en/places-to-visit/dubai-water-canal,https://www.visitdubai.com/en/places-to-visit/dubai-water-canal,,,,,,,,,published,
Escape Rooms,854e4370-f8d7-4823-aea9-7446219aaac6,Escape Hunt Dubai,Al Quoz / Galleria area,https://escapehunt.com/ae/dubai/,https://escapehunt.com/ae/dubai/faqs/,,,,,,,,,published,
Museums / Galleries,3c3057cb-6531-4084-9f42-2d5284d6d18d,Etihad Museum,Jumeirah 1,https://www.visitdubai.com/en/places-to-visit/etihad-museum,https://www.visitdubai.com/en/places-to-visit/etihad-museum,,,,,,,,,published,
Bowling,ad8465f4-cb41-43fe-a3a1-19dd56e7cb0b,GLITCH,Deira,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,,,,,,,published,
Arcade Games,433935df-ae4f-429f-8615-ab42f5c05ed3,GLITCH Arcade,Deira,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,,,,,,,published,
Billiards / Pool,6c7aec6a-42c7-4c95-8273-6348d38253a8,GLITCH Billiards,Deira,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,,,,,,,published,
Indoor Climbing,02b611ba-f888-4a58-8893-c1f2fdb95872,GLITCH Climbing & Ropes,Deira,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,,,,,,,published,
Hiking,f463f80a-30a0-4ba8-adda-af8caf851415,Hatta Hiking Trails,Hatta,https://www.visitdubai.com/en/beyond-dubai/nature-adventures-in-hatta,https://www.visitdubai.com/en/beyond-dubai/nature-adventures-in-hatta,,,,,,,,,published,
Hiking,ce955d03-2145-46a9-b307-1e5fcfea7cae,Hatta Hill Park,Hatta,https://www.visitdubai.com/en/places-to-visit/hatta-hill-park,https://www.visitdubai.com/en/places-to-visit/hatta-hill-park,,,,,,,,,published,
Cycling,d3a42bc9-60d6-4db6-8efa-48ba1634d940,Hatta Mountain Bike Trail Centre,Hatta,https://www.visitdubai.com/en/places-to-visit/hatta-mountain-bike-trail-centre,https://www.visitdubai.com/en/places-to-visit/hatta-mountain-bike-trail-centre,,,,,,,,,published,
Hiking,badfb600-60b4-46e7-b7c9-06cd6974f6dc,Hatta Wadi Hub,Hatta,https://www.visitdubai.com/places-to-visit/hatta-wadi-hub,https://www.visitdubai.com/places-to-visit/hatta-wadi-hub,,,,,,,,,published,
Theme Parks / Attractions,c006a808-a79b-47f5-abf4-fb4090765c97,IMG Worlds of Adventure,City of Arabia,https://www.visitdubai.com/en/places-to-visit/img-worlds-of-adventure,https://experiences.visitdubai.com/productDetail/9344,,,,,,,,,published,
Padel,6b5d186b-309c-4010-a226-d86d269ea32a,ISD Padel — Dubai Sports City,Dubai Sports City,https://isddubai.com/service/book-padel-courts/,https://isddubai.com/service/book-padel-courts/,,,,,,,,,published,
Museums / Galleries,a65aa41a-f327-4292-8e99-d0f900a5e126,Jameel Arts Centre,Jaddaf Waterfront,https://www.visitdubai.com/en/places-to-visit/jameel-arts-centre,https://www.visitdubai.com/en/places-to-visit/jameel-arts-centre,,,,,,,,,published,
Padel,296f78a5-afe6-4a1c-b043-290e7e0ea5c9,Just Padel Dubai Ladies Club,Jumeirah,https://justpadel.ae/courts/,https://justpadel.ae/courts/,,,,,,,,,published,
Padel,9aa87a32-ab6b-47b0-9a60-0b1630be1b63,Just Padel Kite Beach,Kite Beach,https://justpadel.ae/courts/,https://justpadel.ae/courts/,,,,,,,,,published,
Padel,64447503-c2b9-4b8f-8354-82a97e4863ab,Just Padel Mina Rashid — Indoor,Mina Rashid,https://justpadel.ae/courts/,https://justpadel.ae/courts/,,,,,,,,,published,
Padel,5618fe7e-1699-48f7-9be1-7b2c9b035ac0,Just Padel Mina Rashid — Outdoor,Mina Rashid,https://justpadel.ae/courts/,https://justpadel.ae/courts/,,,,,,,,,published,
Padel,01acff5e-a583-4757-a5d6-93e8ffe31f83,Just Padel Ripe Market,Ripe Market,https://justpadel.ae/courts/,https://justpadel.ae/courts/,,,,,,,,,published,
Padel,d831b427-d330-4b2d-87e3-3912f249f3bf,Just Padel The Square — Nad Al Sheba Gardens,Nad Al Sheba,https://justpadel.ae/courts/,https://justpadel.ae/courts/,,,,,,,,,published,
Beach,c90a2a32-0df1-42d9-8bd5-6ddd8d258a3c,Kite Beach,Jumeirah,https://www.visitdubai.com/en/places-to-visit/kite-beach,https://www.visitdubai.com/en/places-to-visit/kite-beach,,,,,,,,,published,
Water Sports,d93fe650-8edc-40f9-8b74-567eba6b5115,Kite N Surf — Nessnass Beach,Nessnass Beach,https://kitensurf.ae/locations/kite-n-surf-nessnass-beach/,https://kitensurf.ae/locations/kite-n-surf-nessnass-beach/,,,,,,,,,published,
Water Sports,45b2e856-2b40-4714-af15-e3dc739ac244,Kite N Surf — Palm Jumeirah,Palm Jumeirah,https://kitensurf.ae/locations/kite-n-surf-palm-jumeirah/,https://kitensurf.ae/locations/kite-n-surf-palm-jumeirah/,,,,,,,,,published,
Arcade Games,e303f655-d3e1-4c3e-a6eb-73c06be68f69,Magic Planet — Mall of the Emirates,Al Barsha,https://www.magicplanetmena.com/en-ae,https://www.magicplanetmena.com/en-ae,,,,,,,,,published,
Padel,b38d7221-9a9b-4110-b125-8353e5761d9c,Matcha Club Al Quoz,Al Quoz,https://matcha-club.com/padel/,https://matcha-club.com/padel/,,,,,,,,,published,
Theme Parks / Attractions,3cc35dbd-ae08-4e7b-bbfa-5072a97b7dfb,Motiongate Dubai,Dubai Parks and Resorts,https://www.visitdubai.com/en/places-to-visit/motiongate-park-dubai,https://www.visitdubai.com/en/places-to-visit/motiongate-park-dubai,,,,,,,,,published,
Indoor Climbing,82343782-9c69-4d42-be6f-9729a9475f8c,Mountain Extreme,Al Quoz,https://www.mtnextreme.com/,https://www.mtnextreme.com/book-now,,,,,,,,,published,
Theme Parks / Attractions,322fbebc-af55-4e05-8c6e-03ccf967c433,Museum of Illusions Dubai,Al Seef,https://museumofillusions.ae/,https://experiences.visitdubai.com/category/1260,,,,,,,,,published,
Museums / Galleries,ee82bc0f-fcd2-453b-a79c-efeee20e41a9,Museum of the Future,Trade Centre / Emirates Towers,https://www.visitdubai.com/en/places-to-visit/museum-of-the-future,https://experiences.visitdubai.com/museum-of-the-future-get-your-tickets,,,,,,,,,published,
Picnic / Park,9ec33067-86d0-483a-9a3b-42f894bddc5f,Mushrif National Park,Mushrif,https://www.visitdubai.com/en/places-to-visit/mushrif-national-park,https://www.visitdubai.com/en/places-to-visit/mushrif-national-park,,,,,,,,,published,
Cycling,8594e408-37c4-4ac0-9455-fd70d588eaa4,Nad Al Sheba Cycle Park,Nad Al Sheba,https://www.visitdubai.com/en/places-to-visit/nad-al-sheba-cycle-park,https://www.visitdubai.com/en/places-to-visit/nad-al-sheba-cycle-park,,,,,,,,,published,
Beach,552716e4-53b1-4116-bf7f-5e38b638148b,Nessnass Beach,Jumeirah,https://www.visitdubai.com/en/places-to-visit/jumeirah-nessnass-beach,https://www.visitdubai.com/en/places-to-visit/jumeirah-nessnass-beach,,,,,,,,,published,
Coffee / Café,cfc280f1-4471-47da-a6e4-148abe31f086,Nightjar Coffee Roasters,Al Quoz,https://www.visitdubai.com/en/restaurants/nightjar-coffee-roasters,https://www.visitdubai.com/en/restaurants/nightjar-coffee-roasters,,,,,,,,,published,
Escape Rooms,5c79f1f3-2539-4bf9-8c3b-e1336b9b09e5,NoWayOut — City Walk,City Walk,https://www.nowayout.ae/rooms/,https://www.nowayout.ae/rooms/,,,,,,,,,published,
Escape Rooms,b1e2249f-4fab-478c-81be-41b553b25286,NoWayOut — JLT,JLT,https://www.nowayout.ae/rooms/,https://www.nowayout.ae/rooms/,,,,,,,,,published,
Desert Activities,2c1aac82-5f62-4c82-b2c2-3603bca4446d,OceanAir — Al Marmoom Heritage Evening Safari,Al Marmoom,https://experiences.visitdubai.com/productDetail/24000,https://experiences.visitdubai.com/productDetail/24000,,,,,,,,,published,
Coffee / Café,a6de888e-0f17-4b82-8deb-8e9606ea01ba,Orijins,DIFC,https://www.orijins.com/,https://www.orijins.com/,,,,,,,,,published,
Padel,14286c55-7b07-4f5a-8691-1903f3854167,Oxygen Padel Club,Al Quoz,https://oxygenclub.ae/,https://oxygenclub.ae/,,,,,,,,,published,
Padel,a2805a58-7001-48b6-a64f-2637c24cdac6,Padel Pro Al Quoz,Al Quoz,https://padelpro.ae/,https://padelpro.ae/indoor-prices/,,,,,,,,,published,
Padel,37fabf1b-a9e4-41b3-bbe9-11bba1688226,Padel Pro One Central,One Central / DWTC,https://padelpro.ae/,https://padelpro.ae/outdoor-prices/,,,,,,,,,published,
Restaurants / Food,9ceebe7c-779a-4769-99c7-05be45992d7d,Ravi Restaurant,Al Satwa,https://www.visitdubai.com/en/restaurants/ravi-restaurant,https://www.visitdubai.com/en/restaurants/ravi-restaurant,,,,,,,,,published,
Cinema,ec47c9f3-bbfb-4c7c-918f-8618a47a2283,Reel Cinemas — Dubai Mall,Downtown Dubai,https://reelcinemas.com/en-ae/locations/thedubaimall/,https://reelcinemas.com/en-ae/locations/thedubaimall/,,,,,,,,,published,
Cinema,12d72cf0-ad14-4feb-8d9b-963598d67945,Reel Cinemas — Dubai Marina Mall,Dubai Marina,https://reelcinemas.com/en-ae/,https://uae.reelcinemas.com/en-ae/experiences/reel-standard/,,,,,,,,,published,
Restaurants / Food,bc1ee697-b3ab-4bb8-bff0-508249e77c53,Reif Japanese Kushiyaki,Jumeirah,https://www.visitdubai.com/en/restaurants/reif-japanese-kushiyaki,https://www.visitdubai.com/en/restaurants/reif-japanese-kushiyaki,,,,,,,,,published,
Swimming / Pool Day,833c8ba1-21a3-4eac-8055-dbcac0252399,RIVA Beach Club,Palm Jumeirah,https://riva-beach.com/,https://riva-beach.com/promotions.html,,,,,,,,,published,
Cinema,6c7ca07f-de3c-4e7b-875c-ccafdd47241d,ROXY Cinemas — Dubai Hills Mall,Dubai Hills,https://www.theroxycinemas.com/en/Dubai%20Hills,https://www.theroxycinemas.com/en/about-us,,,,,,,,,published,
Picnic / Park,8584e119-94b1-45ec-a9fb-1021a1522f57,Safa Park,Al Safa,https://www.visitdubai.com/en/places-to-visit/safa-park,https://www.visitdubai.com/en/places-to-visit/safa-park,,,,,,,,,published,
Padel,1dc60b9a-1d63-4804-b247-37e6b5d0b98f,Sanddune Padel Club,Al Quoz,https://www.sanddune.ae/,https://www.sanddune.ae/,,,,,,,,,published,
Beach,eb91b1e6-78b2-4218-9ce1-84a05ae661a9,Sunset Beach,Jumeirah,https://www.visitdubai.com/places-to-visit/sunset-beach,https://www.visitdubai.com/places-to-visit/sunset-beach,,,,,,,,,published,
Beach,a8e5d49c-1e7e-40b9-b46d-5c5a0588d98b,"The Beach, JBR",JBR,https://www.visitdubai.com/en/places-to-visit/beach-jbr,https://www.visitdubai.com/en/places-to-visit/beach-jbr,,,,,,,,,published,
Billiards / Pool,b724b8e2-cd2b-403d-96b6-a5f1c5d4ae1c,Thunderdome Billiard,International City,https://thunderdomebilliard.com/,https://thunderdomebilliard.com/,,,,,,,,,published,
Golf / Driving Range,c8a721ad-1d43-493f-a3b2-433b5e0c0083,Topgolf Dubai,Emirates Hills,https://topgolf.ae/dubai/play/pricing/,https://topgolf.ae/dubai/play/pricing/,,,,,,,,,published,
Trampoline Parks,36ed6d0a-3d04-49f8-9d4e-e10d714168ff,Trampo Extreme — Palm Jumeirah Mall,Palm Jumeirah,https://trampo-uae.com/nakheel-mall-venue/,https://trampo-uae.com/nakheel-mall-venue/,,,,,,,,,published,
Arcade Games,a92b21b6-3285-4204-9308-ef126b148947,Trampo Extreme Arcade — Palm Jumeirah Mall,Palm Jumeirah,https://trampo-uae.com/nakheel-mall-venue/,https://trampo-uae.com/nakheel-mall-venue/,,,,,,,,,published,
Padel,bbef2761-2c4f-41c9-b92b-e92d37192f40,Viya Padel — Dusit Thani Dubai,DIFC / Trade Centre,https://www.dubaigolf.com/viya-padel/our-locations/dusit-thani-dubai/,https://www.dubaigolf.com/viya-padel/pay-play/,,,,,,,,,published,
Padel,6ee5b663-2388-4109-9963-884a93e7de79,Viya Padel — Emirates Golf Club,Emirates Golf Club,https://www.dubaigolf.com/viya-padel/our-locations/emirates-golf-club/,https://www.dubaigolf.com/viya-padel/pay-play/,,,,,,,,,published,
Padel,a958a93e-6040-4f82-9bd4-22c4a31c2e1c,Viya Padel — Jumeirah Golf Estates,Jumeirah Golf Estates,https://www.dubaigolf.com/viya-padel/our-locations/jumeirah-golf-estates/,https://www.dubaigolf.com/viya-padel/pay-play/,,,,,,,,,published,
Cinema,1781b73f-9459-4209-81b8-4d60e3c1b57e,VOX Cinemas — Mall of the Emirates,Al Barsha,https://uae.voxcinemas.com/cinemas/mall-of-the-emirates,https://uae.voxcinemas.com/cinemas/mall-of-the-emirates,,,,,,,,,published,
Bowling,7cdbfedb-43b6-4009-91a6-60a3eb70a0d5,Wavehouse — Atlantis The Palm,Palm Jumeirah,https://www.atlantis.com/dubai/atlantis-the-palm/dining/wavehouse,https://www.atlantis.com/dubai/atlantis-the-palm/dining/wavehouse,,,,,,,,,published,
Arcade Games,fb5aeccd-f736-456c-a9b9-759d96c203af,Wavehouse Arcade — Atlantis The Palm,Palm Jumeirah,https://www.atlantis.com/dubai/atlantis-the-palm/dining/wavehouse,https://www.atlantis.com/dubai/atlantis-the-palm/dining/wavehouse,,,,,,,,,published,
Water Sports,3ec5ef46-72f8-4d26-b8dd-2e67bd526042,Wavehouse Surf’s Up,Palm Jumeirah,https://www.atlantis.com/dubai/atlantis-the-palm/dining/wavehouse,https://www.atlantis.com/dubai/atlantis-the-palm/dining/wavehouse,,,,,,,,,published,
Coffee / Café,abe3b874-a339-4271-a5ba-72e29a9e0fd0,XVA Café,Al Fahidi,https://www.xvahotel.com/cafe/,https://www.visitdubai.com/en/articles/dubais-hipster-cafes,,,,,,,,,published,
Picnic / Park,f9bee1a8-85c4-41c2-9b94-f4c40010e4c8,Zabeel Park,Zabeel,https://www.visitdubai.com/en/places-to-visit/zabeel-park,https://www.visitdubai.com/en/places-to-visit/zabeel-park,,,,,,,,,published,
