activity_slug,activity_name,venue_id,venue_name,area,address,latitude,longitude,price_min_aed,price_max_aed,cost_per_person_min_aed,cost_per_person_max_aed,pricing_basis,price_note,indoor,min_people,max_people,duration_min_minutes,duration_max_minutes,opening_hours,description,website_url,booking_url,maps_url,current_image_url,source_url,price_verified_at,last_verified_at,verified,active,women_only,court_count,amenities,cover_image_url,image_2_url,image_3_url,image_source_url,image_credit,image_rights_status,image_notes,publish_status,admin_notes
desert-activities,Desert Activities,0968a5e6-5970-4f03-b9c4-99a99378ec34,Arabian Adventures — Fort Lisaili Desert Experience,Lisaili,,,,99,399,99,399,per person; option dependent,Self-drive experience from AED 99; shared transfer from AED 175; shared 4WD desert experience from AED 399. Add-ons cost extra.,false,1,6,240,360,{},"Desert camp with camel ride, archery, dinner and live entertainment.",https://experiences.visitdubai.com/productDetail/87472,https://experiences.visitdubai.com/productDetail/87472,,,https://experiences.visitdubai.com/productDetail/87472,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
desert-activities,Desert Activities,7616f6dd-ee98-4734-9011-4932e118e7c1,Arabian Adventures — Morning Desert Adventure,Dubai Desert Conservation Reserve,,,,479,479,479,479,per person,Shared-vehicle morning desert adventure from AED 479 per person.,false,1,6,240,240,{},"Morning dune drive, sandboarding and camel ride.",https://experiences.visitdubai.com/productDetail/22644,https://experiences.visitdubai.com/productDetail/22644,,,https://experiences.visitdubai.com/productDetail/22644,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
restaurants-food,Restaurants / Food,b1a5635c-091e-478d-9d00-2a71764381cc,Aroos Damascus,Deira,,,,,,,,menu pricing,À-la-carte Syrian menu; check current prices.,true,1,12,45,120,{},"Popular Syrian restaurant known for grills, mezze and generous portions.",https://www.visitdubai.com/en/restaurants/aroos-damascus,,,,https://www.visitdubai.com/en/restaurants/aroos-damascus,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
restaurants-food,Restaurants / Food,c06c0e7b-91d7-4cda-9b87-bc93556574dd,Bait Maryam,JLT,,,,,,,,menu pricing,À-la-carte Levantine menu; check current prices.,true,1,10,60,120,{},Home-style Levantine restaurant.,https://www.visitdubai.com/restaurants/bait-maryam,,,,https://www.visitdubai.com/restaurants/bait-maryam,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
coffee-cafe,Coffee / Café,ed3cd618-1fc8-4c90-b3c3-1d97338582fb,Boston Lane,Al Quoz,,,,,,,,menu pricing,Menu pricing varies; check current menu.,true,1,8,30,120,{},Australian-style café in The Courtyard.,https://www.visitdubai.com/en/restaurants/boston-lane,,,,https://www.visitdubai.com/en/restaurants/boston-lane,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
restaurants-food,Restaurants / Food,c9f0788b-b4cb-474c-8b08-10d8c87cd29e,Bu Qtair,Umm Suqeim / Jumeirah,,,,,,,,menu pricing,Seafood is priced by selection/weight; check current price at venue.,true,1,8,45,120,{},Casual seafood institution near the coast.,https://www.visitdubai.com/en/restaurants/bu-qtair,,,,https://www.visitdubai.com/en/restaurants/bu-qtair,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
karting,Karting,73c66243-a218-4100-bd19-ef79e88bcbdb,Chaos Karts Dubai,Al Quoz,,,,140,140,140,140,per person,Standard ticket starts from AED 140 for a 20-minute immersive race; expect around 1 hour at venue.,true,1,8,20,20,{},Augmented-reality indoor go-karting and video-game experience.,https://chaoskarts.ae/,https://chaoskarts.ae/,,,https://chaoskarts.ae/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
billiards-pool,Billiards / Pool,3c9d55c8-676d-4e4e-b55f-c0ced4c2d430,Cue King,Al Quoz,,,,,,,,check venue,Check venue for current table rate.,true,1,4,60,60,{},Snooker and billiards club in Al Quoz.,https://cueking.ae/,https://cueking.ae/,,,https://cueking.ae/,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
swimming-pool-day,Swimming / Pool Day,a7cdcb01-4d9a-4120-99a9-cb84e5b1796f,DRIFT Beach Dubai,Dubai Marina / One&Only Royal Mirage,,,,150,200,150,200,per person entry,"Beach club access starts AED 150 Mon–Thu and AED 200 Fri–Sun, redeemable on venue amenities/F&B per current offer.",false,1,,120,600,{},Beach club with pool and beachfront lounging.,https://driftbeachdubai.com/,https://driftbeachdubai.com/,,,https://www.visitdubai.com/en/articles/dubais-photogenic-spots,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
bowling,Bowling,a7f699f7-b88f-41a4-a108-693b34dce0e4,Dubai Bowling Center,Al Quoz,"Al Quoz 1, Meydan Road, Dubai",,,,,,,check venue,Check current lane/game rate with venue.,true,1,6,60,60,{},Bowling and arcade entertainment centre.,https://bowlingdubai.com/,https://bowlingdubai.com/,,,https://bowlingdubai.com/,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
theme-parks-attractions,Theme Parks / Attractions,88c15896-3218-48c2-99f5-cfdd76c67fc6,Dubai Frame,Zabeel Park,,,,50,50,50,50,adult ticket,Adult admission AED 50; child rates differ.,true,1,,60,120,{},150m landmark with panoramic city views and heritage/future galleries.,https://www.visitdubai.com/en/places-to-visit/dubai-frame,https://www.visitdubai.com/en/places-to-visit/dubai-frame,,,https://www.visitdubai.com/en/places-to-visit/dubai-frame,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
bowling,Bowling,f53e41eb-7849-4d45-b812-4440bad95210,Dubai International Bowling Centre,Al Mamzar,,,,22,30,22,30,per person per game,AED 22 per person/game Mon–Thu; AED 25 Fri–Sun; AED 30 public holidays. Lane-hour options also available.,true,1,6,60,60,{},36-lane bowling centre.,https://dubaiinternationalbowlingcentre.ae/,https://dubaiinternationalbowlingcentre.ae/,,,https://dubaiinternationalbowlingcentre.ae/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
karting,Karting,e3b3d9bf-ccb4-43e0-a43d-9ed4b73d7f89,Dubai Kartdrome,Motor City,,,,160,199,160,199,per driver per session,Regular adult outdoor walk-in rates AED 160/199; 9AM online-exclusive sessions may be AED 99. AED 15 annual membership fee for new/renewing drivers.,false,1,1,15,20,{},1.2km outdoor karting circuit at Dubai Autodrome.,https://dubaiautodrome.ae/kartdrome-main/arrive-drive-2/,https://dubaiautodrome.ae/kartdrome-main/arrive-drive-2/,,,https://dubaiautodrome.ae/kartdrome-main/arrive-drive-2/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
walking,Walking,2fa19ec2-3ace-46b7-ad4a-ada529c6ddee,Dubai Marina Walk,Dubai Marina,,,,0,0,0,0,free public walk,Public promenade; no entry fee.,false,1,,30,180,{},Waterside promenade around Dubai Marina; roughly 7km around the marina.,https://www.visitdubai.com/en/places-to-visit/marina-walk,,,,https://www.visitdubai.com/en/articles/dubai-marina-walking-tour,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
billiards-pool,Billiards / Pool,6c7613f1-b759-4092-ad58-1305b600eb1d,Dubai Snooker Club,Al Karama,"Khalid Bin Al Waleed Road, Al Karama, Dubai",,,35,40,,,per table per hour,Billiards AED 35/hour; snooker AED 40/hour. Weekday daytime specials may be lower.,true,1,4,60,60,{},Snooker and billiards club.,https://dubaisnookerclub.com/,https://dubaisnookerclub.com/,,,https://dubaisnookerclub.com/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
basketball,Basketball,2fc1000f-d735-4c36-96b1-ac2fb6b6b517,Dubai Sports World — Basketball,Dubai World Trade Centre,"Za’abeel Halls 2–6, Dubai World Trade Centre, Dubai",,,200,250,,,per court per hour,Court AED 200/hour weekday 8am–4pm; AED 250 other listed times. Seasonal 2026 venue runs 19 Jun–25 Aug.,true,2,10,60,60,{},Indoor basketball courts with parquet flooring.,https://www.dubaisportsworld.ae/sports/basketball/,https://www.dubaisportsworld.ae/sports/basketball/,,,https://www.dubaisportsworld.ae/sports/basketball/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
football,Football,64d1d9f0-1cb7-4b95-8635-d97db59956a3,Dubai Sports World — Football,Dubai World Trade Centre,"Za’abeel Halls 2–6, Dubai World Trade Centre, Dubai",,,350,600,,,per pitch per hour,5-a-side AED 350–450/hour; 7-a-side AED 500–600/hour. Seasonal 2026 venue runs 19 Jun–25 Aug.,true,2,14,60,60,{},Indoor summer football pitches in Za’abeel Halls 2–6.,https://www.dubaisportsworld.ae/sports/football/,https://www.dubaisportsworld.ae/sports/football/,,,https://www.dubaisportsworld.ae/sports/football/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
tennis,Tennis,9e3c12aa-f726-4818-9279-b9294233c82d,Dubai Sports World — Tennis,Dubai World Trade Centre,"Za’abeel Halls 2–6, Dubai World Trade Centre, Dubai",,,210,210,,,per court per hour,Indoor tennis court AED 210/hour. Seasonal 2026 venue runs 19 Jun–25 Aug.,true,1,4,60,60,{},Two indoor tennis courts at Dubai Sports World.,https://www.dubaisportsworld.ae/sports/tennis/,https://www.dubaisportsworld.ae/sports/tennis/,,,https://www.dubaisportsworld.ae/sports/tennis/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
padel,Padel,182c381e-8fd0-49ce-ba47-2d996444c7e5,Dubai Sports World Padel,Dubai World Trade Centre,"Za’abeel Halls 2-6, Al Mustaqbal Street, Dubai World Trade Centre, Dubai",,,210,210,52.5,52.5,per court; 60 min; per-person estimate assumes 4 players,AED 210 per court per hour. Seasonal summer venue; check current season before booking.,true,2,4,60,60,"{""daily"":""08:00-00:00""}",Two indoor padel courts inside Dubai Sports World.,https://www.dubaisportsworld.ae/sports/padel/,https://www.dubaisportsworld.ae/sports/padel/,,,https://www.dubaisportsworld.ae/sports/padel/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,2,"[""indoor"",""equipment rental"",""seasonal summer venue""]",,,,,,,,published,
walking,Walking,258173d7-eb87-40fa-9323-50ca5f743326,Dubai Water Canal Walk,Business Bay / Al Safa,,,,0,0,0,0,free public walk,Public waterfront walking route; no activity fee.,false,1,,30,180,{},Waterfront paths and bridges along Dubai Water Canal.,https://www.visitdubai.com/en/places-to-visit/dubai-water-canal,,,,https://www.visitdubai.com/en/places-to-visit/dubai-water-canal,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
escape-rooms,Escape Rooms,854e4370-f8d7-4823-aea9-7446219aaac6,Escape Hunt Dubai,Al Quoz / Galleria area,,,,120,185,120,185,per person,"Rates depend on group size and peak time: from AED 120–145 pp off-peak, up to AED 185 pp peak. Taxes extra.",true,2,5,60,90,{},Immersive escape room games; around 60 minutes in-room and 90 minutes total experience.,https://escapehunt.com/ae/dubai/,https://escapehunt.com/ae/dubai/,,,https://escapehunt.com/ae/dubai/faqs/,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
museums-galleries,Museums / Galleries,3c3057cb-6531-4084-9f42-2d5284d6d18d,Etihad Museum,Jumeirah 1,,,,,,,,check venue,Check current admission price when booking.,true,1,,60,180,{},Museum dedicated to the formation and heritage of the UAE.,https://www.visitdubai.com/en/places-to-visit/etihad-museum,https://www.visitdubai.com/en/places-to-visit/etihad-museum,,,https://www.visitdubai.com/en/places-to-visit/etihad-museum,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
bowling,Bowling,ad8465f4-cb41-43fe-a3a1-19dd56e7cb0b,GLITCH,Deira,"Level 2, Al Ghurair Centre, Deira, Dubai",,,30,30,30,30,per person per game,AED 30 per person per bowling game.,true,1,6,,,{},Indoor games and entertainment venue at Al Ghurair Centre.,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,https://glitcharabia.com/en/pricing,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
arcade-games,Arcade Games,433935df-ae4f-429f-8615-ab42f5c05ed3,GLITCH Arcade,Deira,"Level 2, Al Ghurair Centre, Deira, Dubai",,,20,30,20,30,per game,Arcade/video games AED 20; VR games AED 30.,true,1,5,,,{},"Arcades, VR, climbing, laser tag and more.",https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,https://glitcharabia.com/en/pricing,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
billiards-pool,Billiards / Pool,6c7aec6a-42c7-4c95-8273-6348d38253a8,GLITCH Billiards,Deira,"Level 2, Al Ghurair Centre, Deira, Dubai",,,40,40,10,40,per table per hour,"AED 40 for 60 minutes, up to 4 people.",true,1,4,60,60,{},Billiards inside GLITCH at Al Ghurair Centre.,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,https://glitcharabia.com/en/pricing,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
indoor-climbing,Indoor Climbing,02b611ba-f888-4a58-8893-c1f2fdb95872,GLITCH Climbing & Ropes,Deira,"Level 2, Al Ghurair Centre, Deira, Dubai",,,30,50,30,50,per activity/person,"Cloud Climb AED 30, climbing wall AED 40, ropes course AED 50.",true,1,1,,,{},Indoor climbing and ropes attractions inside GLITCH.,https://glitcharabia.com/en/pricing,https://glitcharabia.com/en/pricing,,,https://glitcharabia.com/en/pricing,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
hiking,Hiking,f463f80a-30a0-4ba8-adda-af8caf851415,Hatta Hiking Trails,Hatta,,,,0,0,0,0,free public trails,Public hiking routes; specialised tours/equipment may cost extra.,false,1,,60,360,{},Mountain hiking routes and nature adventures around Hatta.,https://www.visitdubai.com/en/beyond-dubai/nature-adventures-in-hatta,,,,https://www.visitdubai.com/en/beyond-dubai/nature-adventures-in-hatta,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
hiking,Hiking,ce955d03-2145-46a9-b307-1e5fcfea7cae,Hatta Hill Park,Hatta,,,,0,0,0,0,free public park,Public park and hill walk; no activity fee.,false,1,,30,120,{},Hilltop park with walking routes and Hatta views.,https://www.visitdubai.com/en/places-to-visit/hatta-hill-park,,,,https://www.visitdubai.com/en/places-to-visit/hatta-hill-park,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
cycling,Cycling,d3a42bc9-60d6-4db6-8efa-48ba1634d940,Hatta Mountain Bike Trail Centre,Hatta,,,,,,,,check activity/rental,Trail access and rentals/activities vary; check before travelling.,false,1,,60,360,{},Mountain-bike trail network in Hatta.,https://www.visitdubai.com/en/places-to-visit/hatta-mountain-bike-trail-centre,,,,https://www.visitdubai.com/en/places-to-visit/hatta-mountain-bike-trail-centre,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
hiking,Hiking,badfb600-60b4-46e7-b7c9-06cd6974f6dc,Hatta Wadi Hub,Hatta,,,,,,,,varies by activity,Entry/activity pricing varies by season and chosen activity.,false,1,,60,300,{},Outdoor adventure base for hiking and other Hatta activities.,https://www.visitdubai.com/places-to-visit/hatta-wadi-hub,https://www.visitdubai.com/places-to-visit/hatta-wadi-hub,,,https://www.visitdubai.com/places-to-visit/hatta-wadi-hub,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
theme-parks-attractions,Theme Parks / Attractions,c006a808-a79b-47f5-abf4-fb4090765c97,IMG Worlds of Adventure,City of Arabia,,,,365,365,365,365,per person,General admission AED 365 per person.,true,1,,240,480,{},"Large indoor theme park with Marvel, Cartoon Network and dinosaur zones.",https://www.visitdubai.com/en/places-to-visit/img-worlds-of-adventure,https://experiences.visitdubai.com/productDetail/9344,,,https://experiences.visitdubai.com/productDetail/9344,2026-08-17T10:30:55.336979+00:00,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
padel,Padel,6b5d186b-309c-4010-a226-d86d269ea32a,ISD Padel — Dubai Sports City,Dubai Sports City,"ISD Padel Building, Sports Village, Dubai Sports City, Dubai",,,150,520,37.5,130,per court; 60/90/120 min; per-person estimate assumes 4 players,Rates vary by court type and duration: 60 min AED 150–350; 90 min AED 190–440; 120 min AED 490–520.,,2,4,60,120,{},Six indoor and three outdoor courts at ISD Dubai Sports City.,https://isddubai.com/service/book-padel-courts/,https://isddubai.com/service/book-padel-courts/,,,https://isddubai.com/service/book-padel-courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,9,"[""indoor courts"",""outdoor courts"",""locker rooms"",""refreshments""]",,,,,,,,published,
museums-galleries,Museums / Galleries,a65aa41a-f327-4292-8e99-d0f900a5e126,Jameel Arts Centre,Jaddaf Waterfront,,,,,,,,check exhibition,Check current exhibition access; many exhibitions/programmes may be free.,true,1,,60,180,{},Contemporary arts institution and sculpture park.,https://www.visitdubai.com/en/places-to-visit/jameel-arts-centre,,,,https://www.visitdubai.com/en/places-to-visit/jameel-arts-centre,,2026-08-17T10:30:55.336979+00:00,true,true,false,,[],,,,,,,,published,
padel,Padel,296f78a5-afe6-4a1c-b043-290e7e0ea5c9,Just Padel Dubai Ladies Club,Jumeirah,"Dubai Ladies Club, Jumeirah, Dubai",,,220,220,55,100,per court; 45/90 min; per-person estimate assumes 4 players,AED 220 for first 45 min + AED 180 for an extra 45 min (AED 400 total for 90 min).,false,2,4,45,90,"{""daily"":""13:00-00:00""}",Ladies-only outdoor padel location at Dubai Ladies Club.,https://justpadel.ae/courts/,,,,https://justpadel.ae/courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,true,2,"[""equipment rental"",""ladies only""]",,,,,,,,published,
padel,Padel,9aa87a32-ab6b-47b0-9a60-0b1630be1b63,Just Padel Kite Beach,Kite Beach,"Kite Beach, Jumeirah, Dubai",,,220,220,55,100,per court; 45/90 min; per-person estimate assumes 4 players,AED 220 for first 45 min + AED 180 for an extra 45 min (AED 400 total for 90 min).,false,2,4,45,90,"{""daily"":""06:00-00:00""}",Four outdoor courts at Kite Beach with equipment rental available.,https://justpadel.ae/courts/,https://book.justpadel.ae/,,,https://justpadel.ae/courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,4,"[""equipment rental"",""beachside""]",,,,,,,,published,
padel,Padel,64447503-c2b9-4b8f-8354-82a97e4863ab,Just Padel Mina Rashid — Indoor,Mina Rashid,"Mina Rashid, Dubai",,,220,220,55,100,per court; 45/90 min; per-person estimate assumes 4 players,AED 220 for first 45 min + AED 180 for an extra 45 min (AED 400 total for 90 min).,true,2,4,45,90,"{""daily"":""07:30-00:00""}","Eight indoor air-conditioned courts with lounge, showers, café and free parking.",https://justpadel.ae/courts/,https://book.justpadel.ae/,,,https://justpadel.ae/courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,8,"[""air conditioned"",""showers"",""cafe"",""free parking"",""wheelchair accessible""]",,,,,,,,published,
padel,Padel,5618fe7e-1699-48f7-9be1-7b2c9b035ac0,Just Padel Mina Rashid — Outdoor,Mina Rashid,"Mina Rashid, Dubai",,,220,220,55,100,per court; 45/90 min; per-person estimate assumes 4 players,AED 220 for first 45 min + AED 180 for an extra 45 min (AED 400 total for 90 min).,false,2,4,45,90,"{""daily"":""08:00-00:00""}","Four outdoor courts with showers, café and free parking.",https://justpadel.ae/courts/,https://book.justpadel.ae/,,,https://justpadel.ae/courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,4,"[""showers"",""cafe"",""free parking""]",,,,,,,,published,
padel,Padel,01acff5e-a583-4757-a5d6-93e8ffe31f83,Just Padel Ripe Market,Ripe Market,"Ripe Market, Dubai",,,180,180,45,82.5,per court; 45/90 min; per-person estimate assumes 4 players,AED 180 for first 45 min + AED 150 for an extra 45 min (AED 330 total for 90 min).,false,2,4,45,90,"{""daily"":""15:45-23:15""}",Five outdoor courts at Ripe Market with equipment rental available.,https://justpadel.ae/courts/,https://book.justpadel.ae/,,,https://justpadel.ae/courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,5,"[""equipment rental""]",,,,,,,,published,
padel,Padel,d831b427-d330-4b2d-87e3-3912f249f3bf,Just Padel The Square — Nad Al Sheba Gardens,Nad Al Sheba,"The Square, Nad Al Sheba Gardens, Dubai",,,180,180,45,82.5,per court; 45/90 min; per-person estimate assumes 4 players,AED 180 for first 45 min + AED 150 for an extra 45 min (AED 330 total for 90 min).,false,2,4,45,90,"{""daily"":""16:30-23:15""}",Two outdoor courts at The Square in Nad Al Sheba Gardens.,https://justpadel.ae/courts/,https://book.justpadel.ae/,,,https://justpadel.ae/courts/,2026-08-17T08:11:21.866441+00:00,2026-08-17T08:11:21.866441+00:00,true,true,false,2,"[""equipment rental""]",,,,,,,,published,
